review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r151,64,ドイツ 2014,10,15,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r152,64,ドイツ 2014,10,37,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r153,64,ドイツ 2014,11,7,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r154,64,ドイツ 2014,11,14,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r155,65,バルセロナ 2010-11,9,6,2392,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r156,65,バルセロナ 2010-11,9,11,987,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r157,66,マドリード 2013-14,8,45,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r158,66,マドリード 2013-14,8,47,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r159,68,ブラジル 1982,9,33,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r160,68,ブラジル 1982,9,34,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r161,69,ブラジル 2002,9,19,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r162,69,ブラジル 2002,9,21,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r163,69,ブラジル 2002,10,41,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r164,69,ブラジル 2002,10,57,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r165,70,ナポリ 2011-12,9,21,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r166,70,ナポリ 2011-12,9,24,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r167,70,ナポリ 2011-12,11,11,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r168,70,ナポリ 2011-12,11,22,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r169,71,バイエルン 2013-14,1,2,2175,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r170,71,バイエルン 2013-14,1,4,1361,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r171,71,バイエルン 2013-14,8,25,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r172,71,バイエルン 2013-14,8,29,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r173,72,ロッソネーロ 1998-99,9,8,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r174,72,ロッソネーロ 1998-99,9,12,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r175,72,ロッソネーロ 1998-99,10,20,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r176,72,ロッソネーロ 1998-99,10,32,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r177,73,リバプール 2004-05,8,2,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r178,73,リバプール 2004-05,8,13,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r179,73,リバプール 2004-05,9,1,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r180,73,リバプール 2004-05,9,11,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
